ticker,start_date
AAPL,2003-01-15 22:00:00+00
AAPL,2003-04-16 21:00:00+00
AAPL,2003-07-16 21:30:00+00
AAPL,2003-10-15 21:30:00+00
AAPL,2004-01-14 22:00:00+00
AAPL,2004-04-14 21:00:00+00
AAPL,2004-07-14 21:00:00+00
AAPL,2004-10-13 21:00:00+00
AAPL,2005-01-12 22:00:00+00
AAPL,2005-04-13 21:00:00+00
AAPL,2005-07-13 21:00:00+00
AAPL,2005-10-11 21:00:00+00
AAPL,2006-01-18 22:00:00+00
AAPL,2006-04-19 21:00:00+00
AAPL,2006-07-19 21:00:00+00
AAPL,2006-10-18 21:00:00+00
AAPL,2007-01-17 22:00:00+00
AAPL,2007-04-25 21:00:00+00
AAPL,2007-07-25 21:00:00+00
AAPL,2007-10-22 21:00:00+00
AAPL,2008-01-22 22:00:00+00
AAPL,2008-04-23 21:00:00+00
AAPL,2008-07-21 21:00:00+00
AAPL,2008-10-21 21:00:00+00
AAPL,2009-01-21 22:00:00+00
AAPL,2009-04-22 21:00:00+00
AAPL,2009-07-21 21:00:00+00
AAPL,2009-10-19 21:00:00+00
AAPL,2010-01-25 22:00:00+00
AAPL,2010-04-20 21:00:00+00
AAPL,2010-07-20 21:00:00+00
AAPL,2010-10-18 21:00:00+00
AAPL,2011-01-18 22:00:00+00
AAPL,2011-04-20 21:00:00+00
AAPL,2011-07-19 21:00:00+00
AAPL,2011-10-18 21:00:00+00
AAPL,2012-01-24 22:00:00+00
AAPL,2012-04-24 21:00:00+00
AAPL,2012-07-24 21:00:00+00
AAPL,2012-10-25 21:00:00+00
AAPL,2013-01-23 22:00:00+00
AAPL,2013-04-23 21:00:00+00
AAPL,2013-04-23 21:00:00+00
AAPL,2013-07-23 21:00:00+00
AAPL,2013-10-28 21:00:00+00
AAPL,2014-01-27 22:00:00+00
AAPL,2014-04-23 21:00:00+00
AAPL,2014-07-22 21:00:00+00
AAPL,2014-10-20 21:00:00+00
AAPL,2015-01-27 22:00:00+00
AAPL,2015-01-27 22:00:00+00
AAPL,2015-04-27 21:00:00+00
AAPL,2015-04-27 21:00:00+00
AAPL,2015-07-21 21:00:00+00
AAPL,2015-07-21 21:00:00+00
AAPL,2015-07-21 21:00:00+00
AAPL,2015-10-27 21:00:00+00
AAPL,2015-10-27 21:00:00+00
AAPL,2015-10-27 21:00:00+00
AAPL,2016-01-26 22:00:00+00
AAPL,2016-01-26 22:00:00+00
AAPL,2016-04-26 21:00:00+00
AAPL,2016-04-26 21:00:00+00
AAPL,2016-07-26 21:00:00+00
AAPL,2016-10-25 21:00:00+00
AAPL,2016-10-25 21:00:00+00
AAPL,2016-10-25 21:00:00+00
AAPL,2017-01-31 22:00:00+00
AAPL,2017-01-31 22:00:00+00
AAPL,2017-01-31 22:00:00+00
AAPL,2017-05-02 21:00:00+00
AAPL,2017-08-01 21:00:00+00
AAPL,2017-08-01 21:00:00+00
AAPL,2017-11-02 21:00:00+00
AAPL,2018-02-01 22:00:00+00
AAPL,2018-05-01 21:00:00+00
AAPL,2018-07-31 21:00:00+00
AAPL,2018-11-01 21:00:00+00
AAPL,2019-01-29 22:00:00+00
AAPL,2019-04-30 21:00:00+00
AAPL,2019-07-30 21:00:00+00
AAPL,2019-10-30 21:00:00+00
AAPL,2020-01-28 22:00:00+00
AAPL,2020-04-30 21:00:00+00
AAPL,2020-04-30 21:00:00+00
AAPL,2020-04-30 21:00:00+00
AAPL,2020-04-30 21:00:00+00
MSFT,2003-01-16 22:30:00+00
MSFT,2003-04-15 21:30:00+00
MSFT,2003-07-17 21:30:00+00
MSFT,2003-10-23 21:30:00+00
MSFT,2004-01-22 22:30:00+00
MSFT,2004-04-22 21:30:00+00
MSFT,2004-07-22 21:30:00+00
MSFT,2004-10-21 21:30:00+00
MSFT,2005-01-27 22:30:00+00
MSFT,2005-04-28 21:30:00+00
MSFT,2005-07-21 21:30:00+00
MSFT,2005-10-27 21:30:00+00
MSFT,2006-01-26 22:30:00+00
MSFT,2006-04-27 21:30:00+00
MSFT,2006-07-20 21:30:00+00
MSFT,2006-10-26 21:30:00+00
MSFT,2007-01-25 22:30:00+00
MSFT,2007-04-26 21:30:00+00
MSFT,2007-07-19 21:30:00+00
MSFT,2007-10-25 21:30:00+00
MSFT,2008-01-24 22:30:00+00
MSFT,2008-04-24 21:30:00+00
MSFT,2008-07-17 21:30:00+00
MSFT,2008-10-23 21:30:00+00
MSFT,2009-01-22 16:00:00+00
MSFT,2009-04-23 21:30:00+00
MSFT,2009-07-23 21:30:00+00
MSFT,2009-10-23 14:30:00+00
MSFT,2010-01-28 22:30:00+00
MSFT,2010-04-22 21:30:00+00
MSFT,2010-07-22 21:30:00+00
MSFT,2010-10-28 21:30:00+00
MSFT,2011-01-27 22:30:00+00
MSFT,2011-04-28 21:30:00+00
MSFT,2011-07-21 21:30:00+00
MSFT,2011-10-20 21:30:00+00
MSFT,2012-01-19 22:30:00+00
MSFT,2012-04-19 21:30:00+00
MSFT,2012-07-19 21:30:00+00
MSFT,2012-10-18 21:30:00+00
MSFT,2013-01-24 22:30:00+00
MSFT,2013-04-18 21:30:00+00
MSFT,2013-07-18 21:30:00+00
MSFT,2013-10-24 21:30:00+00
MSFT,2014-01-23 22:30:00+00
MSFT,2014-04-24 21:30:00+00
MSFT,2014-07-22 21:30:00+00
MSFT,2014-10-23 21:30:00+00
MSFT,2015-01-26 22:30:00+00
MSFT,2015-01-26 22:30:00+00
MSFT,2015-04-23 21:30:00+00
MSFT,2015-04-23 21:30:00+00
MSFT,2015-07-21 21:30:00+00
MSFT,2015-07-21 21:30:00+00
MSFT,2015-10-22 21:30:00+00
MSFT,2015-10-22 21:30:00+00
MSFT,2016-01-28 22:30:00+00
MSFT,2016-01-28 22:30:00+00
MSFT,2016-01-28 22:30:00+00
MSFT,2016-04-21 21:30:00+00
MSFT,2016-04-21 21:30:00+00
MSFT,2016-04-21 21:30:00+00
MSFT,2016-07-19 21:30:00+00
MSFT,2016-10-20 21:30:00+00
MSFT,2017-01-26 22:30:00+00
MSFT,2017-01-26 22:30:00+00
MSFT,2017-01-26 22:30:00+00
MSFT,2017-04-27 21:30:00+00
MSFT,2017-07-20 21:30:00+00
MSFT,2017-07-20 21:30:00+00
MSFT,2017-10-26 21:30:00+00
MSFT,2018-01-31 22:30:00+00
MSFT,2018-04-26 21:30:00+00
MSFT,2018-07-19 21:30:00+00
MSFT,2018-10-24 21:30:00+00
MSFT,2019-01-30 22:30:00+00
MSFT,2019-04-24 21:30:00+00
MSFT,2019-07-18 21:30:00+00
MSFT,2019-10-23 21:30:00+00
MSFT,2020-01-29 22:30:00+00
MSFT,2020-04-29 21:30:00+00
MSFT,2020-04-29 21:30:00+00
